Loan Date,Loans (In House + Not In House)
2018-04-03,11
2018-04-04,8
2018-04-05,9
2018-04-06,5
2018-04-07,33
2018-04-09,17
2018-04-10,20
2018-04-11,8
2018-04-12,7
2018-04-13,13
2018-04-14,24
2018-04-16,9
2018-04-17,30
2018-04-18,21
2018-04-19,12
2018-04-20,7
2018-04-21,8
2018-04-23,21
2018-04-24,21
2018-04-25,11
2018-04-26,19
2018-04-27,21
2018-04-28,15
2018-04-30,22
2018-05-01,8
2018-05-02,14
2018-05-03,11
2018-05-04,18
2018-05-05,6
2018-05-06,18
2018-05-07,20
2018-05-08,10
2018-05-09,35
2018-05-10,5
2018-05-11,11
2018-05-12,6
2018-05-14,10
2018-05-15,17
2018-05-16,3
2018-05-17,11
2018-05-18,17
2018-05-19,1
2018-05-20,3
2018-05-21,29
2018-05-22,7
2018-05-23,16
2018-05-24,22
2018-05-25,8
2018-05-26,2
2018-05-29,19
2018-05-30,30
2018-05-31,23
2018-06-01,6
2018-06-02,1
2018-06-03,1
2018-06-04,24
2018-06-05,7
2018-06-06,4
2018-06-07,2
2018-06-08,3
2018-06-09,2
2018-06-10,1
2018-06-11,20
2018-06-12,24
2018-06-13,9
2018-06-14,9
2018-06-15,4
2018-06-16,7
2018-06-18,7
2018-06-19,4
2018-06-20,19
2018-06-21,10
2018-06-22,31
2018-06-23,2
2018-06-24,1
2018-06-25,8
2018-06-26,17
2018-06-27,9
2018-06-28,15
2018-06-29,2
2018-07-02,3
2018-07-05,14
2018-07-06,8
2018-07-07,1
2018-07-09,6
2018-07-10,6
2018-07-11,6
2018-07-12,11
2018-07-13,13
2018-07-14,4
2018-07-16,10
2018-07-17,16
2018-07-18,2
2018-07-19,9
2018-07-20,10
2018-07-23,2
2018-07-24,10
2018-07-25,7
2018-07-26,17
2018-07-27,2
2018-07-29,1
2018-07-30,12
2018-07-31,9
2018-08-01,3
2018-08-02,8
2018-08-03,19
2018-08-04,2
2018-08-06,24
2018-08-07,16
2018-08-08,16
2018-08-09,18
2018-08-10,7
2018-08-13,8
2018-08-14,11
2018-08-15,21
2018-08-16,14
2018-08-17,10
2018-08-18,2
2018-08-20,6
2018-08-21,9
2018-08-22,12
2018-08-23,12
2018-08-24,5
2018-08-27,16
2018-08-28,4
2018-08-29,2
2018-08-30,18
2018-08-31,12
2018-09-04,17
2018-09-05,17
2018-09-06,13
2018-09-07,11
2018-09-08,3
2018-09-09,1
2018-09-10,39
2018-09-11,21
2018-09-12,15
2018-09-13,35
2018-09-14,10
2018-09-15,4
2018-09-16,1
2018-09-17,24
2018-09-18,34
2018-09-19,15
2018-09-20,16
2018-09-21,6
2018-09-22,4
2018-09-24,29
2018-09-25,16
2018-09-26,14
2018-09-27,13
2018-09-28,20
2018-10-01,22
2018-10-02,6
2018-10-03,8
2018-10-04,8
2018-10-05,9
2018-10-06,8
2018-10-07,1
2018-10-08,9
2018-10-09,29
2018-10-10,11
2018-10-11,28
2018-10-12,22
2018-10-13,18
2018-10-14,3
2018-10-15,19
2018-10-16,16
2018-10-17,17
2018-10-18,23
2018-10-19,5
2018-10-20,2
2018-10-22,33
2018-10-23,17
2018-10-24,9
2018-10-25,17
2018-10-26,2
2018-10-28,1
2018-10-29,23
2018-10-30,17
2018-10-31,12
2018-11-01,15
2018-11-02,14
2018-11-03,6
2018-11-05,36
2018-11-06,7
2018-11-07,16
2018-11-08,12
2018-11-09,17
2018-11-12,14
2018-11-13,32
2018-11-14,10
2018-11-15,22
2018-11-16,27
2018-11-19,15
2018-11-20,17
2018-11-21,6
2018-11-26,31
2018-11-27,29
2018-11-28,2
2018-11-29,25
2018-11-30,3
2018-12-01,7
2018-12-03,4
2018-12-04,29
2018-12-05,13
2018-12-06,6
2018-12-07,23
2018-12-10,31
2018-12-11,10
2018-12-12,10
2018-12-13,7
2018-12-14,4
2018-12-17,8
2018-12-18,20
2018-12-19,7
2018-12-20,14
2018-12-21,1
2018-12-22,1
2019-01-02,16
2019-01-03,15
2019-01-04,18
2019-01-05,2
2019-01-06,4
2019-01-07,11
2019-01-08,15
2019-01-09,10
2019-01-10,20
2019-01-11,6
2019-01-12,1
2019-01-14,30
2019-01-15,9
2019-01-16,8
2019-01-17,12
2019-01-18,5
2019-01-19,5
2019-01-22,13
2019-01-23,19
2019-01-24,22
2019-01-25,12
2019-01-26,1
2019-01-27,3
2019-01-28,15
2019-01-29,11
2019-01-30,8
2019-01-31,9
2019-02-01,7
2019-02-02,13
2019-02-03,3
2019-02-04,22
2019-02-05,10
2019-02-06,15
2019-02-07,8
2019-02-08,10
2019-02-09,7
2019-02-10,2
2019-02-11,12
2019-02-12,36
2019-02-13,16
2019-02-14,5
2019-02-15,35
2019-02-16,3
2019-02-18,15
2019-02-19,8
2019-02-20,27
2019-02-21,10
2019-02-22,7
2019-02-25,32
2019-02-26,15
2019-02-27,11
2019-02-28,13
2019-03-01,5
2019-03-02,2
2019-03-04,3
2019-03-05,13
2019-03-06,18
2019-03-07,18
2019-03-08,16
2019-03-09,5
2019-03-10,1
2019-03-11,9
2019-03-12,19
2019-03-14,13
2019-03-15,5
2019-03-16,2
2019-03-18,4
2019-03-19,16
2019-03-20,9
2019-03-21,6
2019-03-22,17
2019-03-23,1
2019-03-25,9
2019-03-26,14
2019-03-27,13
2019-03-28,29
2019-03-29,3
2019-03-30,7
2019-04-01,9
2019-04-02,20
2019-04-03,6
2019-04-04,7
2019-04-05,4
2019-04-06,3
2019-04-07,1
2019-04-08,3
2019-04-09,20
2019-04-10,2
2019-04-11,9
2019-04-12,7
2019-04-13,14
2019-04-14,2
2019-04-15,11
2019-04-16,23
2019-04-17,15
2019-04-18,3
2019-04-21,1
2019-04-22,25
2019-04-23,5
2019-04-24,13
2019-04-25,21
2019-04-26,3
2019-04-28,1
2019-04-29,13
2019-04-30,5
